Name;Description
"Mycobacterium tuberculosis;""Causes tuberculosis (TB); resistance to first-line drugs like rifampicin and isoniazid (multi-drug resistant TB or MDR-TB)"
Staphylococcus aureus (MRSA);Methicillin-resistant Staphylococcus aureus (MRSA) is resistant to most beta-lactam antibiotics
"Escherichia coli (E. coli);""Common cause of urinary tract infections (UTIs); increasing resistance to antibiotics like ciprofloxacin"
"Klebsiella pneumoniae;""Associated with hospital-acquired infections; resistant to carbapenems"
"Pseudomonas aeruginosa;""Causes infections in hospital settings"
"Acinetobacter baumannii;""Found in healthcare settings"
"Neisseria gonorrhoeae;""Cause of gonorrhea; developing resistance to ceftriaxone and azithromycin"
Enterococcus faecium (VRE);Vancomycin-resistant Enterococcus (VRE) is resistant to vancomycin
"Salmonella spp.;""Causes foodborne illness; increasing resistance to fluoroquinolones and third-generation cephalosporins"
"Shigella spp.;""Causes dysentery; resistant to trimethoprim-sulfamethoxazole"
"Campylobacter jejuni;""Common cause of bacterial gastroenteritis; resistance to fluoroquinolones and macrolides such as azithromycin."""
"Haemophilus influenzae;""Can cause respiratory infections; increasing resistance to beta-lactams and macrolides."""
"Streptococcus pneumoniae;""Causes pneumonia"
"Proteus mirabilis;""Known for causing UTIs and wound infections; increasingly resistant to beta-lactams and fluoroquinolones."""
"Citrobacter freundii;""Can cause hospital-acquired infections; resistance to beta-lactams and carbapenems."""
"Morganella morganii;""Found in hospital settings and can cause UTIs and sepsis; resistant to multiple antibiotics"
